,type,SNR,sum_rate,K,channel_name
0,Uniform,1.0,0.800088547378925,4,A
1,Random,1.0,1.0636517218237451,4,A
2,WMMES,1.0,2.2443140684507137,4,A
3,VPG,1.0,0.8,4,A
4,Uniform,1.0,1.143890708273073,4,B
5,Random,1.0,1.4860736704110469,4,B
6,WMMES,1.0,2.5837184071250743,4,B
7,VPG,1.0,1.6,4,B
8,Uniform,1.0,0.41751860302186583,4,C
9,Random,1.0,0.7952559244873797,4,C
10,WMMES,1.0,1.4313445528993731,4,C
11,VPG,1.0,0.6,4,C
12,Uniform,1.0,0.7977695889657876,4,D
13,Random,1.0,1.6469538418477998,4,D
14,WMMES,1.0,2.3685869213551047,4,D
15,VPG,1.0,1.3,4,D
